Rank,Name,Wealth (in $1B USD),Country of Citizenship,Residence
559,Thomas Frist Jr & family,1.8,United States,United States
560,John Gandel,1.8,Australia,Australia
561,B Thomas Golisano,1.8,United States,United States
562,Ingeburg Herz,1.8,Germany,Germany
563,Roman Karkosik,1.8,Poland,Poland
564,Robert Kauffman,1.8,United States,United Kingdom
565,Lee Myung-Hee,1.8,South Korea,South Korea
566,Maersk Mc-Kinney Moller,1.8,Denmark,Denmark
567,John Morgridge,1.8,United States,United States
568,NR Narayana Murthy,1.8,India,India
569,Randal Nardone,1.8,United States,United States
570,Jorge Perez,1.8,United States,United States
571,Stanley Perron,1.8,Australia,Australia
572,Edward Roski Jr,1.8,United States,United States
573,Isaac Saba Raffoul & family,1.8,Mexico,Mexico
574,Emanuele (Lino) Saputo,1.8,Canada,Canada
575,Shin Dong-Bin,1.8,South Korea,South Korea
576,Alexander Shnaider,1.8,Canada,Canada
577,Dorothéa Steinbruch & family,1.8,Brazil,Brazil
578,Ernest Stempel,1.8,United States,Bermuda
579,Pat Stryker,1.8,United States,United States
580,Albert Ueltschi,1.8,United States,United States
581,William Wrigley Jr,1.8,United States,United States
582,Ahmet Zorlu,1.8,Turkey,Turkey
583,Alexei Ananyev,1.7,Russia,Russia
584,Dmitry Ananyev,1.7,Russia,Russia
585,George Argyros,1.7,United States,United States
586,Chu Mang Yee,1.7,China,China
587,Gerald J Ford,1.7,United States,United States
588,Sergei Galitsky,1.7,Russia,Russia
589,Rolf Gerling,1.7,Germany,Switzerland
590,Louis Gonda,1.7,United States,United States
591,Kenneth Griffin,1.7,United States,United States
592,Stanley Stub Hubbard,1.7,United States,United States
593,Irwin Jacobs,1.7,United States,United States
594,Michael Jaharis,1.7,United States,United States
595,James Jannard,1.7,United States,United States
596,Pauline MacMillan Keinath,1.7,United States,United States
597,Michael Krasny,1.7,United States,United States
598,Mike Lazaridis,1.7,Canada,Canada
599,Lee Jay-Yong,1.7,South Korea,South Korea
600,Patrick Lee,1.7,Hong Kong,Hong Kong
601,Cargill MacMillan Jr,1.7,United States,United States
602,John MacMillan III,1.7,United States,United States
603,Whitney MacMillan,1.7,United States,United States
604,Anthony O'Reilly,1.7,Ireland,Ireland
605,Gregorio Perez Companc & family,1.7,Argentina,Argentina
606,Marion MacMillan Pictet,1.7,United States,Bermuda
607,Joaquín Rivero,1.7,Spain,Spain
608,Shin Dong-Joo,1.7,South Korea,Japan
609,Kavitark Shriram,1.7,United States,United States
610,Andrei Skoch,1.7,Russia,Russia
611,Sheldon Solow,1.7,United States,United States
612,Benny Steinmetz,1.7,Israel,Israel
613,Theodore Waitt,1.7,United States,United States
614,Arthur Williams Jr,1.7,United States,United States
615,Yeoh Tiong Lay & family,1.7,Malaysia,Malaysia
616,Lorenzo Zambrano & family,1.7,Mexico,Mexico
617,Zhong Shen Jian,1.7,Singapore,Singapore
618,Bassam Alghanim,1.6,Kuwait,Kuwait
619,Kutayba Alghanim,1.6,Kuwait,Kuwait
620,James Balsillie,1.6,Canada,Canada
621,Neil Bluhm,1.6,United States,United States
622,Gary Burrell,1.6,United States,United States
623,Alan Casden,1.6,United States,United States
624,Shalva Chigirinsky,1.6,Russia,Russia
625,Jean Coutu,1.6,Canada,Canada
626,Venugopal Dhoot,1.6,India,India
627,Anurag Dikshit,1.6,India,Gibraltar
628,Aydin Dogan,1.6,Turkey,Turkey
629,James Dyson,1.6,United Kingdom,United Kingdom
630,Archie Aldis "Red" Emmerson,1.6,United States,United States
631,Tetsuro Funai,1.6,Japan,Japan
632,Donald Hall,1.6,United States,United States
633,Ayman Hariri,1.6,Saudi Arabia,Saudi Arabia
634,Fahd Hariri,1.6,Lebanon,France
635,Jonathan Harmsworth,1.6,United Kingdom,United Kingdom
636,Alfredo Harp Helu,1.6,Mexico,Mexico
637,Elie Horn,1.6,Brazil,Brazil
638,Jon Huntsman,1.6,United States,United States
639,H Fisk Johnson,1.6,United States,United States
640,Imogene Powers Johnson,1.6,United States,United States
641,S Curtis Johnson,1.6,United States,United States
642,Helen Johnson-Leipold,1.6,United States,United States
643,Winnie Johnson-Marquart,1.6,United States,United States
644,Michael Lee-Chin,1.6,Canada,Canada
645,Nancy Lerner,1.6,United States,United States
646,Norma Lerner,1.6,United States,United States
647,Randolph Lerner,1.6,United States,United States
648,George Lindemann & family,1.6,United States,United States
649,Manuel Manrique,1.6,Spain,Spain
650,Kenneth Morrison,1.6,United Kingdom,United Kingdom
651,Igor Olenicoff,1.6,United States,United States
652,Nicholas Pritzker II,1.6,United States,United States
653,Steven Roth,1.6,United States,United States
654,Dieter Schnabel,1.6,Germany,Germany
655,Antonio Luiz Seabra,1.6,Brazil,United Kingdom
656,Yasumitsu Shigeta,1.6,Japan,Japan
657,O Bruton Smith,1.6,United States,United States
658,Phyllis Taylor,1.6,United States,United States
659,Tom Ward,1.6,United States,United States
660,Sanford Weill,1.6,United States,United States
661,Arne Wilhelmsen & family,1.6,Norway,Norway
662,Igor Yakovlev,1.6,Russia,Russia
663,Zhang Cheng Fei,1.6,China,China
664,Farkhad Akhmedov,1.5,Russia,Russia
665,Mohammed Al Rajhi,1.5,Saudi Arabia,Saudi Arabia
666,Leslie Alexander,1.5,United States,United States
667,Frank Batten Sr,1.5,United States,United States
668,Amar Bose,1.5,United States,United States
669,William Boyd,1.5,United States,United States
670,Oleg Boyko,1.5,Russia,Russia
671,Peter Buck,1.5,United States,United States
672,Turgay Ciner,1.5,Turkey,Turkey
673,Fred DeLuca,1.5,United States,United States
674,Gleb Fetisov,1.5,Russia,Russia
675,John J Fisher,1.5,United States,United States
676,James France,1.5,United States,United States
677,William France Jr,1.5,United States,United States
678,Jaiprakash Gaur,1.5,India,India
679,David Green,1.5,United States,United States
680,Guo Guangchang,1.5,China,China
681,R Budi Hartono & family,1.5,Indonesia,Indonesia
682,Douglas Hsu,1.5,Taiwan,Taiwan
683,Michael Ilitch,1.5,United States,United States
684,Brad Kelley,1.5,United States,United States
685,William Kellogg,1.5,United States,United States
686,Andrei Kozitsyn,1.5,Russia,Russia
687,Guy Laliberte,1.5,Canada,Canada
688,Guilherme Peirao Leal,1.5,Brazil,Brazil
689,James Leprino,1.5,United States,United States
690,Theodore Lerner,1.5,United States,United States
691,Liu Yongxing,1.5,China,China
692,Vijay Mallya,1.5,India,India
693,Aubrey McClendon,1.5,United States,United States
694,Robert McNair,1.5,United States,United States
695,Robert Naify,1.5,United States,United States
696,Michael Price,1.5,United States,United States
697,Stewart Rahr,1.5,United States,United States
698,James Ratcliffe,1.5,United Kingdom,United Kingdom
699,Trevor Rees-Jones,1.5,United States,United States
700,Marc Rich,1.5,United States,Switzerland
701,Robert Rich Jr,1.5,United States,United States
702,Hans Riegel,1.5,Germany,Germany
703,Paul Riegel,1.5,Germany,Germany
704,Fayez Sarofim,1.5,United States,United States
705,Hajime Satomi,1.5,Japan,Japan
706,Samih Sawiris,1.5,Egypt,Egypt
707,Thomas Siebel,1.5,United States,United States
708,Herbert Simon,1.5,United States,United States
709,Zygmunt Solorz-Zak,1.5,Poland,Poland
710,Nurzhan Subkhanberdin,1.5,Kazakhstan,Kazakhstan
711,David Tepper,1.5,United States,United States
712,Martin Viessmann,1.5,Germany,Germany
713,Oprah Winfrey,1.5,United States,United States
714,Daniel Ziff,1.5,United States,United States
