Rank,Name,Wealth (in $1B USD),Country of Citizenship,Source of Wealth,Industry
297,Peter Sperling,1.8,United States,,Service
298,John Sperling,1.8,United States,,Service
299,Henry Samueli,1.8,United States,,
300,Ricardo Salinas Pliego,1.8,Mexico,,Retail
301,Shiv Nadar,1.8,India,,
302,Kenneth Morrison,1.8,United Kingdom,,Retail
303,John Malone,1.8,United States,,Media
304,Lee Seng Wee,1.8,Singapore,,
305,Bruce Kovner,1.8,United States,,Finance
306,James Kim,1.8,United States,,Technology
307,Jess Jackson,1.8,United States,,Food
308,H. Wayne Huizenga,1.8,United States,,Investments
309,Alfredo Harp Helu,1.8,Mexico,,Finance
310,Stein Erik Hagen,1.8,Norway,,Retail
311,Charles Dolan,1.8,United States,,Media
312,John de Mol,1.8,Netherlands,,Media
313,Emilio Botin,1.8,Spain,,Finance
314,Herbert Allen,1.8,United States,,Finance
315,Sheldon Adelson,1.8,United States,,
316,S. Daniel Abraham,1.8,United States,,Food and Beverage
317,Zhang Liguo,1.762549,China,skincare,Manufacturing
318,Zbigniew Juroszek & family,1.704685,Poland,"Real estate, gambling",Diversified
319,Shi Wen Long,1.7,Taiwan,"plastics, technology",Manufacturing
320,Emanuele (Lino) Saputo,1.7,Canada,,Food
321,Haim Saban,1.7,United States,,Media
322,Johann Rupert,1.7,South Africa,,Retail
323,David Murdock,1.7,United States,,Investments
324,Clayton Mathile,1.7,United States,,Food
325,Mary Alice Dorrance Malone,1.7,United States,,Food and Beverage
326,Esther Koplowitz,1.7,Spain,,Construction &#38; Engineering
327,Hans-Werner Hector,1.7,Germany,,
328,Thomas Frist Jr,1.7,United States,,Health care
329,Dhanin Chearavanont,1.7,Thailand,,Agriculture
330,Vladimir Bogdanov,1.7,Russia,,Oil
331,Zhang Xiaojuan,1.6746269999999999,China,Logistics,Logistics
332,Zhang Gongyun,1.62853,China,Tyre manufacturing machinery,Manufacturing
333,Zhou Yahui,1.62439,China,online games,Media & Entertainment
334,Chaleo Yoovidhya,1.6,Thailand,,Food and Beverage
335,Peter Woo,1.6,Hong Kong,,Real Estate
336,Gregorio Perez Companc,1.6,Argentina,,
337,Kazuo Okada,1.6,Japan,,
338,Charles Munger,1.6,n/a,,
339,George Mitchell,1.6,United States,,Oil
340,Rosalia Mera,1.6,Spain,,Billionaire
341,Carl Lindner Jr,1.6,United States,,Sports
342,Peter Lewis,1.6,United States,,Logistics
343,Joseph Lewis,1.6,United Kingdom,,Finance
344,Norma Lerner,1.6,United States,,Finance
345,Nancy Lerner,1.6,United States,,Finance
346,Richard Kinder,1.6,United States,,Oil
347,Tom Gores,1.6,United States,,Finance
348,Alec Gores,1.6,United States,,Finance
349,B. Thomas Golisano,1.6,United States,,
350,Stanley Druckenmiller,1.6,United States,,Finance
351,Isak Andic,1.6,Spain,,Retail
352,Zhang Shilong & family,1.5890840000000002,China,Semiconductor,Technology
353,Zhou Jian,1.586756,China,robotics,Technology
354,Yuan Zhongxue,1.560548,China,Tires,Manufacturing
355,Yu Qibing & family,1.534539,China,Glass,Manufacturing
356,Yuri Shefler,1.506269,Russia,Alcohol,Food & Beverage
357,Vladimir Yevtushenkov,1.5,Russia,,
358,Hiroshi Yamauchi,1.5,Japan,,Software
359,Lucio Tan,1.5,Philippines,,
360,Pat Stryker,1.5,United States,,Health Care
361,Harold Simmons,1.5,United States,,Investments
362,Miuccia Prada,1.5,Italy,,Business
363,Wallace McCain,1.5,Canada,,Food and Beverage
